entity_type,jolpica_id,jolpica_name,internal_id,internal_ref,match_method
circuit,albert_park,,1,albert_park,ref_or_normalized_name
circuit,shanghai,,17,shanghai,ref_or_normalized_name
circuit,suzuka,,22,suzuka,ref_or_normalized_name
circuit,bahrain,,3,bahrain,ref_or_normalized_name
circuit,jeddah,,77,jeddah,ref_or_normalized_name
circuit,miami,,79,miami,ref_or_normalized_name
circuit,imola,,21,imola,ref_or_normalized_name
circuit,monaco,,6,monaco,ref_or_normalized_name
circuit,catalunya,,4,catalunya,ref_or_normalized_name
circuit,villeneuve,,7,villeneuve,ref_or_normalized_name
circuit,red_bull_ring,,70,red_bull_ring,ref_or_normalized_name
circuit,silverstone,,9,silverstone,ref_or_normalized_name
circuit,spa,,13,spa,ref_or_normalized_name
circuit,hungaroring,,11,hungaroring,ref_or_normalized_name
circuit,zandvoort,,39,zandvoort,ref_or_normalized_name
circuit,monza,,14,monza,ref_or_normalized_name
circuit,baku,,73,baku,ref_or_normalized_name
circuit,marina_bay,,15,marina_bay,ref_or_normalized_name
circuit,americas,,69,americas,ref_or_normalized_name
circuit,rodriguez,,32,rodriguez,ref_or_normalized_name
circuit,interlagos,,18,interlagos,ref_or_normalized_name
circuit,vegas,,80,vegas,ref_or_normalized_name
circuit,losail,,78,losail,ref_or_normalized_name
circuit,yas_marina,,24,yas_marina,ref_or_normalized_name
circuit,madring,Madring,,,unmapped
