driver_name,reconstructed_event_points,official_points,season,difference
Adrian Sutil,0.0,,2014,
André Lotterer,0.0,,2014,
Daniel Ricciardo,238.0,,2014,
Daniil Kvyat,8.0,,2014,
Esteban Gutiérrez,0.0,,2014,
Felipe Massa,134.0,,2014,
Fernando Alonso,161.0,,2014,
Jean-Éric Vergne,22.0,,2014,
Jenson Button,126.0,,2014,
Jules Bianchi,2.0,,2014,
Kamui Kobayashi,0.0,,2014,
Kevin Magnussen,55.0,,2014,
Kimi Räikkönen,55.0,,2014,
Lewis Hamilton,384.0,,2014,
Marcus Ericsson,0.0,,2014,
Max Chilton,0.0,,2014,
Nico Hülkenberg,96.0,,2014,
Nico Rosberg,317.0,,2014,
Pastor Maldonado,2.0,,2014,
Romain Grosjean,8.0,,2014,
Sebastian Vettel,167.0,,2014,
Sergio Pérez,59.0,,2014,
Valtteri Bottas,186.0,,2014,
Will Stevens,0.0,,2014,
Alexander Rossi,0.0,,2015,
Carlos Sainz,18.0,,2015,
Daniel Ricciardo,92.0,,2015,
Daniil Kvyat,95.0,,2015,
Felipe Massa,121.0,,2015,
Felipe Nasr,27.0,,2015,
Fernando Alonso,11.0,,2015,
Jenson Button,16.0,,2015,
Kevin Magnussen,0.0,,2015,
Kimi Räikkönen,150.0,,2015,
Lewis Hamilton,381.0,,2015,
Marcus Ericsson,9.0,,2015,
Max Verstappen,49.0,,2015,
Nico Hülkenberg,58.0,,2015,
Nico Rosberg,322.0,,2015,
Pastor Maldonado,27.0,,2015,
Roberto Merhi,0.0,,2015,
Romain Grosjean,51.0,,2015,
Sebastian Vettel,278.0,,2015,
Sergio Pérez,78.0,,2015,
Valtteri Bottas,136.0,,2015,
Will Stevens,0.0,,2015,
Carlos Sainz,46.0,,2016,
Daniel Ricciardo,256.0,,2016,
Daniil Kvyat,25.0,,2016,
Esteban Gutiérrez,0.0,,2016,
Esteban Ocon,0.0,,2016,
Felipe Massa,53.0,,2016,
Felipe Nasr,2.0,,2016,
Fernando Alonso,54.0,,2016,
Jenson Button,21.0,,2016,
Jolyon Palmer,1.0,,2016,
Kevin Magnussen,7.0,,2016,
Kimi Räikkönen,186.0,,2016,
Lewis Hamilton,380.0,,2016,
Marcus Ericsson,0.0,,2016,
Max Verstappen,204.0,,2016,
Nico Hülkenberg,72.0,,2016,
Nico Rosberg,385.0,,2016,
Pascal Wehrlein,1.0,,2016,
Rio Haryanto,0.0,,2016,
Romain Grosjean,29.0,,2016,
Sebastian Vettel,212.0,,2016,
Sergio Pérez,101.0,,2016,
Stoffel Vandoorne,1.0,,2016,
Valtteri Bottas,85.0,,2016,
Antonio Giovinazzi,0.0,,2017,
Brendon Hartley,0.0,,2017,
Carlos Sainz,54.0,,2017,
Daniel Ricciardo,200.0,,2017,
Daniil Kvyat,5.0,,2017,
Esteban Ocon,87.0,,2017,
Felipe Massa,43.0,,2017,
Fernando Alonso,17.0,,2017,
Jenson Button,0.0,,2017,
Jolyon Palmer,8.0,,2017,
Kevin Magnussen,19.0,,2017,
Kimi Räikkönen,205.0,,2017,
