task,model_family,accuracy,precision,recall,f1,average_precision,brier_score,roc_auc,mae,rmse,r2,spearman,precision_at_10,recall_at_10,top10_overlap,ndcg_at_10
top10,current_evaluation_baseline,0.7620041753653445,0.7560975609756098,0.775,0.7654320987654321,0.8206414842789829,0.16587547035206668,0.8346408647140866,,,,,,,,
podium,current_evaluation_baseline,0.8914405010438413,0.5909090909090909,0.9027777777777778,0.7142857142857143,0.7341955984604142,0.08093075460055929,0.9426358176358177,,,,,,,,
points,current_evaluation_baseline,,,,,,,,2.919343679131102,4.499972409547522,0.6068128007433635,0.7040223550870846,,,,
top10,pre_quali,0.7098121085594989,0.7327188940092166,0.6625,0.6958424507658644,0.7622552786342145,0.19623106869716606,0.771565550906555,,,,,,,,
podium,pre_quali,0.8329853862212944,0.46825396825396826,0.8194444444444444,0.5959595959595959,0.5978733778990418,0.10715701495042648,0.8967717717717718,,,,,,,,
points,pre_quali,,,,,,,,3.6659978155672768,5.305830947390743,0.4533787822297548,0.5959589467935817,,,,
ranking,pre_quali,,,,,,,,,,,,0.7041666666666666,0.7041666666666666,7.041666666666667,0.7667886031311645
top10,post_quali,0.7599164926931107,0.7450980392156863,0.7916666666666666,0.7676767676767676,0.8216975234395676,0.1649759944367739,0.8358960948396096,,,,,,,,
podium,post_quali,0.8997912317327766,0.6224489795918368,0.8472222222222222,0.7176470588235294,0.7264493152417262,0.08003689333934849,0.9406906906906908,,,,,,,,
points,post_quali,,,,,,,,2.9515166509418216,4.509501180518263,0.6051458760758188,0.7008114450149965,,,,
ranking,post_quali,,,,,,,,,,,,0.7666666666666666,0.7666666666666666,7.666666666666667,0.8186446101027371
